Observation,TextUrn,Image,Comments
urn:cite:op:hmt12D.1,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@ἵ,"urn:cite:hmt:vaimg.VA156RN-0327@0.1772,0.1968,0.032,0.0285",
urn:cite:op:hmt12D.2,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@π,"urn:cite:hmt:vaimg.VA156RN-0327@0.1922,0.2036,0.02,0.0203",
urn:cite:op:hmt12D.3,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@π[2],"urn:cite:hmt:vaimg.VA156RN-0327@0.2092,0.2096,0.014,0.0105",
urn:cite:op:hmt12D.4,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@ο,"urn:cite:hmt:vaimg.VA156RN-0327@0.2172,0.2096,0.011,0.0075",
urn:cite:op:hmt12D.5,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@υ,"urn:cite:hmt:vaimg.VA156RN-0327@0.2292,0.2096,0.012,0.009",
urn:cite:op:hmt12D.6,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@σ,"urn:cite:hmt:vaimg.VA156RN-0327@0.2362,0.2074,0.018,0.0113",
urn:cite:op:hmt12D.7,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@μ,"urn:cite:hmt:vaimg.VA156RN-0327@0.2523,0.2074,0.016,0.0135",
urn:cite:op:hmt12D.8,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@ὲ,"urn:cite:hmt:vaimg.VA156RN-0327@0.2673,0.2006,0.026,0.0195",
urn:cite:op:hmt12D.9,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@ν,"urn:cite:hmt:vaimg.VA156RN-0327@0.2773,0.2081,0.016,0.012",
urn:cite:op:hmt12D.10,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@θ,"urn:cite:hmt:vaimg.VA156RN-0327@0.2943,0.2051,0.016,0.0143",
urn:cite:op:hmt12D.11,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@ε,"urn:cite:hmt:vaimg.VA156RN-0327@0.3063,0.2051,0.014,0.012",
urn:cite:op:hmt12D.12,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@ρ, "urn:cite:hmt:vaimg.VA156RN-0327@0.3153,0.2096,0.014,0.012",
urn:cite:op:hmt12D.13,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@α,"urn:cite:hmt:vaimg.VA156RN-0327@0.3303,0.2089,0.013,0.0105",
urn:cite:op:hmt12D.14,urn:cts:greekLit:tlg0012.tlg001.msA:12.76@π[3],"urn:cite:hmt:vaimg.VA156RN-0327@0.3453,0.2059,0.012,0.0135",
