Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.76,"urn:cite:hmt:vaimg.VA156RN-0327@0.1832,0.1976,0.3934,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:12.77,"urn:cite:hmt:vaimg.VA156RN-0327@0.1792,0.2186,0.3714,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:12.78,"urn:cite:hmt:vaimg.VA156RN-0327@0.1782,0.2367,0.3984,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:12.79,"urn:cite:hmt:vaimg.VA156RN-0327@0.1762,0.2765,0.4384,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.80,"urn:cite:hmt:vaimg.VA156RN-0327@0.1782,0.2945,0.4034,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:12.81,"urn:cite:hmt:vaimg.VA156RN-0327@0.1772,0.2953,0.3914,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.82,"urn:cite:hmt:vaimg.VA156RN-0327@0.1712,0.3133,0.4014,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:12.83,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.3306,0.4274,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:12.84,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.3561,0.4074,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.85,"urn:cite:hmt:vaimg.VA156RN-0327@0.1702,0.3727,0.4474,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:12.86,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.3907,0.3884,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:12.87,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.4102,0.4354,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:12.88,"urn:cite:hmt:vaimg.VA156RN-0327@0.1732,0.4298,0.4615,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.89,"urn:cite:hmt:vaimg.VA156RN-0327@0.1722,0.4478,0.4454,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.90,"urn:cite:hmt:vaimg.VA156RN-0327@0.1712,0.4681,0.4454,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.91,"urn:cite:hmt:vaimg.VA156RN-0327@0.1712,0.4853,0.4615,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:12.92,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.5071,0.4374,0.0278"
